Round	Proposer0	Proposer1	Responder
1	20	15	115
2	20	15	115
3	20	15	115
4	20	15	115
5	20	15	115
6	20	15	115
7	20	15	115
8	20	15	115
9	20	15	115
10	20	15	115
11	20	15	115
12	20	15	115
13	20	15	115
14	20	15	115
15	20	15	115
16	20	15	115
17	20	15	115
18	20	15	115
19	20	15	115
20	20	15	115
21	20	15	115
22	20	15	115
23	20	15	115
24	20	15	115
25	20	15	115
26	20	15	115
27	20	15	115
28	20	15	115
29	20	15	115
30	20	15	115
31	20	15	115
32	20	15	115
33	20	15	115
34	20	15	115
35	20	15	115
36	20	15	115
37	20	15	115
38	20	15	115
39	20	15	115
40	20	15	115
41	20	15	115
42	20	15	115
43	20	15	115
44	20	15	115
45	20	15	115
46	20	15	115
47	20	15	115
48	20	15	115
49	20	15	115
50	20	15	115
51	20	15	115
52	20	15	115
53	20	15	115
54	20	15	115
55	20	15	115
56	20	15	115
57	20	15	115
58	20	15	115
59	20	15	115
60	20	15	115
61	20	15	115
62	20	15	115
